Name (eng)	Name	PanLex ID	hand	elbow	face	distance	touch	wash	cough	home	share	community	friend	family	no	stay
18th century Tahitian	18th century Tahitian	tah-001	rima													
ABVD 210	ABVD 210	art-268	001												195	
ASCII Agar	ASCII Agar	dib-002	Cin													
ASCII Amoy Minnan Chinese	ASCII Amoy Minnan Chinese	nan-006	Ch~iu													
ASCII Hainan Minnan Chinese	ASCII Hainan Minnan Chinese	nan-007	Sy~u													
ASCII Northeastern Dinka	ASCII Northeastern Dinka	dip-003	Cin													
ASCII Northwestern Dinka	ASCII Northwestern Dinka	diw-002	CiEn													
ASCII Rek	ASCII Rek	dik-003	Tin													
ASCII Southeastern Dinka	ASCII Southeastern Dinka	dks-002	Cin													
ASCII Upriver Halkomelem	ASCII Upriver Halkomelem	hur-004	Cal3x													
Abau	Abau	aau-000	iha	irobo					hɔi sɔpu						kəre	
Abaza	абаза бызшва	abq-000	напIы		лакта								нбджьагӏв	унагӏва		
Abe / Abi / Abbey	Abé	aba-000	àbɔ̄lɔ̄					ti miǯi	kwɔ̀ ŋkwɔ				cɛwù			
Abkhaz	аҧсуа бызшәа	abk-000	анапы		аҿы						ашара		аҩыза	аҭаацәа	аи	
Abun Tat / Karon Pantai	Karon Pantai	kgr-000	sy~im													
Abure	ɔbule ɔyʋɛ	abu-000	m̀mákɔ̀					vʊ́	tãʏ̈hʊ̃̂				ébê			
Acadian French	français acadien	frc-000	main	coude	figure			laver	tousser		partager		ami	monde	aucun	
Acehnese / Achinese	Bahsa Acèh	ace-000	jaroe					cucô		rumoh				syedara	bukòn	
Achawa / Achagua	Achagua	aca-000	kahi													
Achomawi / Achumawi / Pit River	ajúmmááwí	acv-000	il													
Acoli / Acholi	Acoli	ach-000	CiN													
Adamawa Fulfulde	Fulfulde	fub-000	juNg~o													
Adele	Adele	ade-000	gʋlɔ					fere								
Adhola	Adhola	adh-000	ciN													
Adilabad Gondi	గోండీ	wsg-000	కయ్	టొఙి	మొకొమ్		లాగ్త	సుక్వల్	కోక్ల		ఈస		సోపెతల్	కుటుంబ	కట్టొ	మన్వల్
Adivasi Odia	ఒడ్య	ort-000	ఆత్	కొఁపుర్ ఆత్	దెకివొ	ఆర్‌దురి	చీవ్	దొ	కొంకొల్	గోర్	బంటిఒయ్‌బర్		గోత్‌ నొని	గొర్‌మొన్	బుజి	రో
Adjukru	Adyukru	adj-000	àbù					ès ɛfn	lîfń ɔb				làwì			
Adyghe / West Circassian	адыгэбзэ	ady-000	Ӏэ		нэгу		еӏусын			унэ	гощын		ныбджэгъу	унагъо	арэп	
Afar	Qafár af	aar-000	gaba	hälə́ːf	áḷaː		dag	kaʕal-is					kahantə́ː-la		abadáː	raːʕ
Aghem	Aghem	agq-000	kw~e		úsɨ́		ímɔ̂m	ísû	íkɔɛ́				fɨ́n			
Aghul	агъул чӀал	agx-001	гъил	къархил	хъуьссу		кирхІас	ъІуччанас	мухур хъархьас		пай акьас		дустт	хизан	дава	амилгванас
Agta / Central Cagayan Agta	Agta	agt-000	komot												bʌkkʌn	
Aikanã	Huari	tba-000	ine													
Ainu	Aynu itak	ain-004	tek	sittok	nan			huraye	omke	cise			utokuyekor kur		somo	oka
Ainu	アイヌ イタㇰ	ain-000		シットㇰ	ナン				シレクッカㇻ	ウニヒ			ウタㇻ		ソモ	エヨッコッ
Aja	Ajja	aja-000			iɲi-nikpa			ut̪ua-	do ŋgòčúː	gènde					ayu	
Aka-Bea	Aka-Beada	abj-000	oNkoro													
Aka-Jeru	ठोटारफूच	akj-001	ऐरशोलो	एबालाताराडोले	एरचौक		बानेब	एरेऽञसीरबे	कौत	आराठीमीखू			मेले		बौशौ	कैले
Akan	Akan	aka-000	nsa													
